Data;Consumo(kWh)
08/01/2024;1.79
09/01/2024;3.092
10/01/2024;2.701
11/01/2024;2.825
12/01/2024;2.327
13/01/2024;1.678
14/01/2024;2.043
15/01/2024;3.234
16/01/2024;3.267
17/01/2024;3.508
18/01/2024;3.795
19/01/2024;3.637
20/01/2024;3.266
21/01/2024;3.607
22/01/2024;3.611
23/01/2024;3.263
24/01/2024;3.257
25/01/2024;1.624
18/04/2024;2.192
19/04/2024;4.312
20/04/2024;2.363
21/04/2024;2.559
22/04/2024;3.082
23/04/2024;3.616
24/04/2024;3.774
25/04/2024;2.44
26/04/2024;2.438
27/04/2024;2.44
28/04/2024;0.106
01/05/2024;1.99
02/05/2024;2.684
03/05/2024;2.673
04/05/2024;3.111
05/05/2024;3.034
06/05/2024;3.169
07/05/2024;3.294
08/05/2024;2.081
09/05/2024;2.645
10/05/2024;2.87
15/05/2024;2.374
16/05/2024;3.07
17/05/2024;2.095
18/05/2024;3.045
19/05/2024;3.37
20/05/2024;3.177
21/05/2024;3.366
22/05/2024;2.673
23/05/2024;2.73
24/05/2024;2.941
25/05/2024;3.158
26/05/2024;2.234
27/05/2024;2.652
28/05/2024;2.965
29/05/2024;3.045
30/05/2024;3.024
31/05/2024;3.15
01/06/2024;2.942
02/06/2024;3.736
03/06/2024;3.159
04/06/2024;3.017
05/06/2024;3.062
06/06/2024;2.871
07/06/2024;3.327
08/06/2024;3.162
09/06/2024;3.113
10/06/2024;2.935
11/06/2024;2.684
12/06/2024;2.942
13/06/2024;3.033
14/06/2024;2.892
15/06/2024;3.189
16/06/2024;3.198
17/06/2024;3.444
18/06/2024;3.212
19/06/2024;0.606
