Data;Consumo(kWh)
08/02/2024;1.023
09/02/2024;3.088
10/02/2024;2.519
11/02/2024;2.011
12/02/2024;2.749
13/02/2024;1.123
14/02/2024;2.711
15/02/2024;1.34
16/02/2024;1.968
17/02/2024;3.128
18/02/2024;1.923
19/02/2024;2.439
20/02/2024;3.295
21/02/2024;3.105
22/02/2024;0.653
01/05/2024;0.897
02/05/2024;2.511
03/05/2024;2.818
27/05/2024;2.486
28/05/2024;2.524
29/05/2024;3.12
30/05/2024;3.11
31/05/2024;2.939
01/06/2024;2.802
02/06/2024;2.697
03/06/2024;3.038
04/06/2024;3.011
05/06/2024;3.014
06/06/2024;2.428
07/06/2024;3.567
08/06/2024;3.914
09/06/2024;2.642
10/06/2024;2.941
11/06/2024;2.606
12/06/2024;2.593
13/06/2024;3.397
14/06/2024;2.659
15/06/2024;2.925
16/06/2024;3.131
17/06/2024;2.728
18/06/2024;3.038
19/06/2024;2.811
20/06/2024;1.049
