Data;Consumo(kWh)
25/01/2024;2.724
26/01/2024;4.564
27/01/2024;3.571
28/01/2024;4.64
29/01/2024;4.302
30/01/2024;5.345
31/01/2024;5.573
01/02/2024;1.176
18/04/2024;0.716
19/04/2024;2.624
20/04/2024;2.398
21/04/2024;3.212
22/04/2024;3.076
23/04/2024;3.451
24/04/2024;3.176
25/04/2024;2.367
26/04/2024;2.698
27/04/2024;2.09
28/04/2024;2.278
29/04/2024;2.516
30/04/2024;2.729
01/05/2024;2.361
02/05/2024;3.167
03/05/2024;3.939
04/05/2024;2.819
05/05/2024;4.14
06/05/2024;3.125
07/05/2024;2.96
08/05/2024;3.425
09/05/2024;3.209
10/05/2024;3.701
11/05/2024;3.116
12/05/2024;2.068
13/05/2024;3.595
14/05/2024;3.008
15/05/2024;3.47
16/05/2024;2.594
17/05/2024;2.424
18/05/2024;3.932
19/05/2024;2.738
20/05/2024;3.182
21/05/2024;3.941
22/05/2024;4.79
23/05/2024;4.341
24/05/2024;3.95
25/05/2024;3.91
26/05/2024;3.846
27/05/2024;3.928
28/05/2024;4.35
29/05/2024;3.895
30/05/2024;2.692
31/05/2024;4.294
01/06/2024;5.279
02/06/2024;4.146
03/06/2024;3.126
04/06/2024;3.24
05/06/2024;4.863
06/06/2024;4.501
07/06/2024;3.311
08/06/2024;3.765
09/06/2024;2.564
10/06/2024;4.652
11/06/2024;3.769
12/06/2024;3.779
13/06/2024;4.114
14/06/2024;3.478
15/06/2024;3.726
16/06/2024;2.646
17/06/2024;3.548
18/06/2024;3.284
19/06/2024;4.09
20/06/2024;1.385
