Data;Consumo(kWh)
22/02/2024;1.443
23/02/2024;2.835
24/02/2024;3.076
25/02/2024;2.974
26/02/2024;2.879
27/02/2024;2.765
28/02/2024;2.364
29/02/2024;3
01/03/2024;2.928
02/03/2024;3.565
03/03/2024;2.927
04/03/2024;2.997
05/03/2024;3.277
06/03/2024;2.928
07/03/2024;0.823
01/05/2024;0.849
02/05/2024;2.112
03/05/2024;2.149
04/05/2024;2.189
05/05/2024;2.507
06/05/2024;2.329
07/05/2024;1.893
08/05/2024;2.456
09/05/2024;2.34
10/05/2024;1.975
11/05/2024;0.182
12/05/2024;0
13/05/2024;0
14/05/2024;0
15/05/2024;0
16/05/2024;0
17/05/2024;0
18/05/2024;0
19/05/2024;0
20/05/2024;0
21/05/2024;0
22/05/2024;0
23/05/2024;1.592
24/05/2024;2.339
25/05/2024;2.845
26/05/2024;2.548
27/05/2024;1.785
28/05/2024;2.308
29/05/2024;2.37
30/05/2024;1.668
31/05/2024;1.84
01/06/2024;2.235
02/06/2024;2.093
03/06/2024;2.546
04/06/2024;2.402
05/06/2024;2.479
06/06/2024;2.628
07/06/2024;2.824
08/06/2024;3.075
09/06/2024;2.897
10/06/2024;2.323
11/06/2024;2.43
12/06/2024;1.723
13/06/2024;1.583
14/06/2024;2.371
15/06/2024;2.533
16/06/2024;2.579
17/06/2024;2.342
18/06/2024;2.467
19/06/2024;2.507
20/06/2024;0.691
